r,rdf,cdf
0.005,0.0,0.0
0.015,0.0,0.0
0.025,0.0,0.0
0.035,0.0,0.0
0.045,0.0,0.0
0.055,0.0,0.0
0.065,0.0,0.0
0.07500000000000001,0.0,0.0
0.08499999999999999,0.0,0.0
0.095,0.0,0.0
0.10500000000000001,0.0,0.0
0.11499999999999999,0.0,0.0
0.125,0.0,0.0
0.135,0.0,0.0
0.14500000000000002,0.0,0.0
0.155,0.0,0.0
0.165,0.0,0.0
0.175,0.0,0.0
0.185,0.0,0.0
0.195,0.0,0.0
0.20500000000000002,0.0,0.0
0.215,0.0,0.0
0.225,0.0,0.0
0.235,0.0,0.0
0.245,0.0,0.0
0.255,0.0,0.0
0.265,0.0,0.0
0.275,0.0,0.0
0.28500000000000003,0.0,0.0
0.295,0.0,0.0
0.305,0.0,0.0
0.315,0.0,0.0
0.325,0.0,0.0
0.335,0.0,0.0
0.34500000000000003,0.0,0.0
0.355,0.0,0.0
0.365,0.0,0.0
0.375,0.0,0.0
0.385,0.0,0.0
0.395,0.0,0.0
0.405,0.0,0.0
0.41500000000000004,0.0,0.0
0.425,0.0,0.0
0.435,0.0,0.0
0.445,0.0,0.0
0.455,0.0,0.0
0.465,0.0,0.0
0.475,0.0,0.0
0.485,0.0,0.0
0.495,0.0,0.0
0.505,0.0,0.0
0.515,0.0,0.0
0.525,0.0,0.0
0.535,0.0,0.0
0.545,0.0,0.0
0.555,0.0,0.0
0.5650000000000001,0.0,0.0
0.575,0.0,0.0
0.585,0.0,0.0
0.595,0.0,0.0
0.605,0.0,0.0
0.615,0.0,0.0
0.625,0.0,0.0
0.635,0.0,0.0
0.645,0.0,0.0
0.655,0.0,0.0
0.665,0.0,0.0
0.675,0.0,0.0
0.685,0.0,0.0
0.6950000000000001,0.0,0.0
0.7050000000000001,0.0,0.0
0.715,0.0,0.0
0.725,0.0,0.0
0.735,0.0,0.0
0.745,0.0,0.0
0.755,0.0,0.0
0.765,0.0,0.0
0.775,0.0,0.0
0.785,0.0,0.0
0.795,0.0,0.0
0.805,0.0,0.0
0.8150000000000001,0.0,0.0
0.8250000000000001,0.0,0.0
0.835,0.0,0.0
0.845,0.0,0.0
0.855,0.0,0.0
0.865,0.0,0.0
0.875,0.0,0.0
0.885,0.0,0.0
0.895,0.0,0.0
0.905,0.0,0.0
0.915,0.0,0.0
0.925,0.0,0.0
0.935,0.0,0.0
0.9450000000000001,0.0,0.0
0.9550000000000001,0.0,0.0
0.965,0.0,0.0
0.975,0.0,0.0
0.985,0.0,0.0
0.995,0.0,0.0
1.005,0.0,0.0
1.0150000000000001,0.0,0.0
1.025,0.0,0.0
1.0350000000000001,0.0,0.0
1.045,0.0,0.0
1.0550000000000002,0.0,0.0
1.065,0.0,0.0
1.0750000000000002,0.0,0.0
1.085,0.0,0.0
1.0950000000000002,0.0,0.0
1.105,0.0,0.0
1.1150000000000002,0.0,0.0
1.125,0.0,0.0
1.1350000000000002,0.0,0.0
1.145,0.0,0.0
1.155,0.0,0.0
1.165,0.0,0.0
1.1749999999999998,0.0,0.0
1.185,0.0,0.0
1.1949999999999998,0.0,0.0
1.205,0.0,0.0
1.2149999999999999,0.0,0.0
1.225,0.0,0.0
1.2349999999999999,0.0,0.0
1.245,0.0,0.0
1.255,0.0,0.0
1.2650000000000001,0.0,0.0
1.275,0.0,0.0
1.2850000000000001,0.0,0.0
1.295,0.0,0.0
1.3050000000000002,0.0,0.0
1.315,0.0,0.0
1.3250000000000002,0.0,0.0
1.335,0.0,0.0
1.3450000000000002,0.0,0.0
1.355,0.0,0.0
1.3650000000000002,0.0,0.0
1.375,0.0,0.0
1.3850000000000002,0.0,0.0
1.395,0.0,0.0
1.405,0.0,0.0
1.415,0.0,0.0
1.4249999999999998,0.0,0.0
1.435,0.0,0.0
1.4449999999999998,0.0,0.0
1.455,0.0,0.0
1.4649999999999999,0.0,0.0
1.475,0.0,0.0
1.4849999999999999,0.0,0.0
1.495,0.0,0.0
1.505,0.0,0.0
1.5150000000000001,0.0,0.0
1.525,0.0,0.0
1.5350000000000001,0.0,0.0
1.545,0.0,0.0
1.5550000000000002,0.0,0.0
1.565,0.0,0.0
1.5750000000000002,0.0,0.0
1.585,0.0,0.0
1.5950000000000002,0.0,0.0
1.605,0.0,0.0
1.6150000000000002,0.0,0.0
1.625,0.0,0.0
1.6350000000000002,0.0,0.0
1.645,0.0,0.0
1.6550000000000002,0.0,0.0
1.665,0.0,0.0
1.6749999999999998,0.0,0.0
1.685,0.0,0.0
1.6949999999999998,0.0,0.0
1.705,0.0,0.0
1.7149999999999999,0.0,0.0
1.725,0.0,0.0
1.7349999999999999,0.0,0.0
1.745,0.0,0.0
1.755,0.0,0.0
1.7650000000000001,0.0,0.0
1.775,0.0,0.0
1.7850000000000001,0.0,0.0
1.795,0.0,0.0
1.8050000000000002,0.0,0.0
1.815,0.0,0.0
1.8250000000000002,0.0,0.0
1.835,0.0,0.0
1.8450000000000002,0.0,0.0
1.855,0.0,0.0
1.8650000000000002,0.0,0.0
1.875,0.0,0.0
1.8850000000000002,0.0,0.0
1.895,0.0,0.0
1.9050000000000002,0.0,0.0
1.915,0.0,0.0
1.9249999999999998,0.0,0.0
1.935,0.0,0.0
1.9449999999999998,0.0,0.0
1.955,0.0,0.0
1.9649999999999999,0.0,0.0
1.975,0.0,0.0
1.9849999999999999,0.0,0.0
1.995,0.0,0.0
2.005,0.0,0.0
2.015,0.0,0.0
2.0250000000000004,0.0,0.0
2.035,0.0,0.0
2.045,0.0,0.0
2.0549999999999997,0.0,0.0
2.065,0.0,0.0
2.075,0.0,0.0
2.085,0.0,0.0
2.0949999999999998,0.0,0.0
2.105,0.0,0.0
2.115,0.0,0.0
2.125,0.0,0.0
2.135,0.0,0.0
2.145,0.0,0.0
2.1550000000000002,0.0,0.0
2.165,0.0,0.0
2.175,0.0,0.0
2.185,0.0,0.0
2.1950000000000003,0.0,0.0
2.205,0.0,0.0
2.215,0.0,0.0
2.225,0.0,0.0
2.2350000000000003,0.0,0.0
2.245,0.0,0.0
2.255,0.2525109116073418,0.00019443904335990667
2.265,0.12514308016079032,0.00029165856503986
2.2750000000000004,0.3721360227406512,0.00058331713007972
2.285,0.12296198240713746,0.0006805366517596734
2.295,0.24378550908868235,0.00087497569511958
2.305,0.362512237923847,0.00116663426015944
2.315,0.9583657382987283,0.0019443904335990666
2.325,1.0689069078846931,0.0028193661287186467
2.335,1.7662850121026898,0.0042776589539179465
2.3449999999999998,1.5177525049734664,0.00554151273575734
2.355,1.3891294826914091,0.00670814699591678
2.365,2.5252460582890643,0.008846976472875754
2.375,3.18694170910234,0.011569123079914447
2.385,3.1602728971067164,0.01429126968695314
2.395,3.4697164543878043,0.017305074859031693
2.4050000000000002,2.885934826308931,0.01983278242271048
2.415,4.072966064557014,0.023429904724868753
2.425,3.1660506244275,0.0262492708535874
2.435,4.331171773372987,0.030138051720785534
2.4450000000000003,5.477164719465149,0.03509624732646315
2.455,5.2195906547557245,0.039860003888780866
2.465,4.966007525497583,0.04442932140773868
2.475,6.183651030696674,0.05016527318685592
2.4850000000000003,4.886393571095138,0.05473459070581373
2.495,4.537900336198996,0.059012249659731675
2.505,4.2971173253201655,0.0630954695702897
2.515,4.1615130802583,0.0670814699591678
2.5250000000000004,4.128615915650483,0.07106747034804588
2.535,4.4957275216886465,0.0754423488236438
2.545,5.848167969183727,0.08117830060276103
2.555,4.720661198823183,0.08584483764339879
2.565,4.488761191841553,0.09031693564067664
2.575,3.2920609157616525,0.09362239937779505
2.585,2.978406806045424,0.09663620454987361
2.5949999999999998,2.7648189302640733,0.09945557067859227
2.605,2.838240705906745,0.10237215632899085
2.615,3.0043465087268726,0.10548318102274937
2.625,3.167843620095047,0.10878864475986778
2.635,3.4212430011825257,0.11238576706202606
2.645,3.7624951166164444,0.11637176745090415
2.6550000000000002,2.459111145425401,0.11899669453626288
2.665,2.7118788040813606,0.12191328018666148
2.675,2.960805096516483,0.12512152440209995
2.685,1.6920316294743771,0.12696869531401905
