r,rdf,cdf
0.005,0.0,0.0
0.015,0.0,0.0
0.025,0.0,0.0
0.035,0.0,0.0
0.045,0.0,0.0
0.055,0.0,0.0
0.065,0.0,0.0
0.07500000000000001,0.0,0.0
0.08499999999999999,0.0,0.0
0.095,0.0,0.0
0.10500000000000001,0.0,0.0
0.11499999999999999,0.0,0.0
0.125,0.0,0.0
0.135,0.0,0.0
0.14500000000000002,0.0,0.0
0.155,0.0,0.0
0.165,0.0,0.0
0.175,0.0,0.0
0.185,0.0,0.0
0.195,0.0,0.0
0.20500000000000002,0.0,0.0
0.215,0.0,0.0
0.225,0.0,0.0
0.235,0.0,0.0
0.245,0.0,0.0
0.255,0.0,0.0
0.265,0.0,0.0
0.275,0.0,0.0
0.28500000000000003,0.0,0.0
0.295,0.0,0.0
0.305,0.0,0.0
0.315,0.0,0.0
0.325,0.0,0.0
0.335,0.0,0.0
0.34500000000000003,0.0,0.0
0.355,0.0,0.0
0.365,0.0,0.0
0.375,0.0,0.0
0.385,0.0,0.0
0.395,0.0,0.0
0.405,0.0,0.0
0.41500000000000004,0.0,0.0
0.425,0.0,0.0
0.435,0.0,0.0
0.445,0.0,0.0
0.455,0.0,0.0
0.465,0.0,0.0
0.475,0.0,0.0
0.485,0.0,0.0
0.495,0.0,0.0
0.505,0.0,0.0
0.515,0.0,0.0
0.525,0.0,0.0
0.535,0.0,0.0
0.545,0.0,0.0
0.555,0.0,0.0
0.5650000000000001,0.0,0.0
0.575,0.0,0.0
0.585,0.0,0.0
0.595,0.0,0.0
0.605,0.0,0.0
0.615,0.0,0.0
0.625,0.0,0.0
0.635,0.0,0.0
0.645,0.0,0.0
0.655,0.0,0.0
0.665,0.0,0.0
0.675,0.0,0.0
0.685,0.0,0.0
0.6950000000000001,0.0,0.0
0.7050000000000001,0.0,0.0
0.715,0.0,0.0
0.725,0.0,0.0
0.735,0.0,0.0
0.745,0.0,0.0
0.755,0.0,0.0
0.765,0.0,0.0
0.775,0.0,0.0
0.785,0.0,0.0
0.795,0.0,0.0
0.805,0.0,0.0
0.8150000000000001,0.0,0.0
0.8250000000000001,0.0,0.0
0.835,0.0,0.0
0.845,0.0,0.0
0.855,0.0,0.0
0.865,0.0,0.0
0.875,0.0,0.0
0.885,0.0,0.0
0.895,0.0,0.0
0.905,0.0,0.0
0.915,0.0,0.0
0.925,0.0,0.0
0.935,0.0,0.0
0.9450000000000001,0.0,0.0
0.9550000000000001,0.0,0.0
0.965,0.0,0.0
0.975,0.0,0.0
0.985,0.0,0.0
0.995,0.0,0.0
1.005,0.0,0.0
1.0150000000000001,0.0,0.0
1.025,0.0,0.0
1.0350000000000001,0.0,0.0
1.045,0.0,0.0
1.0550000000000002,0.0,0.0
1.065,0.0,0.0
1.0750000000000002,0.0,0.0
1.085,0.0,0.0
1.0950000000000002,0.0,0.0
1.105,0.0,0.0
1.1150000000000002,0.0,0.0
1.125,0.0,0.0
1.1350000000000002,0.0,0.0
1.145,0.0,0.0
1.155,0.0,0.0
1.165,0.0,0.0
1.1749999999999998,0.0,0.0
1.185,0.0,0.0
1.1949999999999998,0.0,0.0
1.205,0.0,0.0
1.2149999999999999,0.0,0.0
1.225,0.0,0.0
1.2349999999999999,0.0,0.0
1.245,0.0,0.0
1.255,0.0,0.0
1.2650000000000001,0.0,0.0
1.275,0.0,0.0
1.2850000000000001,0.0,0.0
1.295,0.0,0.0
1.3050000000000002,0.0,0.0
1.315,0.0,0.0
1.3250000000000002,0.0,0.0
1.335,0.0,0.0
1.3450000000000002,0.0,0.0
1.355,0.0,0.0
1.3650000000000002,0.0,0.0
1.375,0.0,0.0
1.3850000000000002,0.0,0.0
1.395,0.0,0.0
1.405,0.0,0.0
1.415,0.0,0.0
1.4249999999999998,0.0,0.0
1.435,0.0,0.0
1.4449999999999998,0.0,0.0
1.455,0.0,0.0
1.4649999999999999,0.0,0.0
1.475,0.0,0.0
1.4849999999999999,0.0,0.0
1.495,0.0,0.0
1.505,0.0,0.0
1.5150000000000001,0.0,0.0
1.525,0.0,0.0
1.5350000000000001,0.0,0.0
1.545,0.0,0.0
1.5550000000000002,0.0,0.0
1.565,0.0,0.0
1.5750000000000002,0.0,0.0
1.585,0.0,0.0
1.5950000000000002,0.0,0.0
1.605,0.0,0.0
1.6150000000000002,0.0,0.0
1.625,0.0,0.0
1.6350000000000002,0.0,0.0
1.645,0.0,0.0
1.6550000000000002,0.0,0.0
1.665,0.0,0.0
1.6749999999999998,0.0,0.0
1.685,0.0,0.0
1.6949999999999998,0.0,0.0
1.705,0.0,0.0
1.7149999999999999,0.0,0.0
1.725,0.0,0.0
1.7349999999999999,0.0,0.0
1.745,0.0,0.0
1.755,0.0,0.0
1.7650000000000001,0.0,0.0
1.775,0.0,0.0
1.7850000000000001,0.0,0.0
1.795,0.0,0.0
1.8050000000000002,0.0,0.0
1.815,0.0,0.0
1.8250000000000002,0.0,0.0
1.835,0.0,0.0
1.8450000000000002,0.0,0.0
1.855,0.0,0.0
1.8650000000000002,0.0,0.0
1.875,0.0,0.0
1.8850000000000002,0.0,0.0
1.895,0.0,0.0
1.9050000000000002,0.0,0.0
1.915,0.0875337267799831,9.721952167995334e-05
1.9249999999999998,0.0,9.721952167995334e-05
1.935,0.08573359939420734,0.00019443904335990667
1.9449999999999998,0.042427144086990116,0.00024304880419988333
1.955,0.2519653069261522,0.0005347073692397433
1.9649999999999999,0.3741109583828076,0.0009721952167995333
1.975,0.12344403070210616,0.0011180244993194634
1.9849999999999999,0.20367232945496255,0.0013610733035193468
1.995,0.4435983710801627,0.00189578067275909
2.005,0.31940690439226804,0.0022846587594789036
2.015,0.3557750464767244,0.0027221466070386936
2.0250000000000004,0.3522699020979545,0.0031596344545984836
2.035,0.5426031386307841,0.0038401711063581565
2.045,0.5373094916673256,0.00452070775811783
2.0549999999999997,0.4940862975625281,0.0051526346490375265
2.065,0.8280673994597436,0.006222049387517014
2.075,0.7082727371269667,0.00714563484347657
2.085,1.4768317043258679,0.009090025277075637
2.0949999999999998,0.9507983857416502,0.01035387905891503
2.105,0.9780086906633537,0.0116663426015944
2.115,0.5382123679638714,0.01239548901419405
2.125,0.7819661930824564,0.013464903752673537
2.135,0.7042346829658377,0.01443709896947307
2.145,0.45349441157780873,0.015069025860392767
2.1550000000000002,0.656662536027975,0.015992611316352323
2.165,0.7190956939851539,0.017013416293991834
2.175,0.7803555353424062,0.018131440793311297
2.185,0.5042798155630567,0.018860587205910946
2.1950000000000003,0.566321550029402,0.01968695314019055
2.205,0.7262542983435425,0.020756367878670037
2.215,0.5888548728649754,0.021631343573789617
2.225,0.5511529377574839,0.02245770950806922
2.2350000000000003,0.8032822973862492,0.023672953529068636
2.245,0.7006050106195536,0.024742368267548123
2.255,0.34720250346009496,0.02527707563678787
2.265,0.5631438607235565,0.02615205133190745
2.2750000000000004,0.5582040341109769,0.02702702702702703
2.285,0.4303669384249811,0.0277075636787867
2.295,0.6094637727217059,0.028679758895586233
2.305,0.5135590037254499,0.029506124829865837
2.315,0.7786721623677167,0.03076997861170523
2.325,0.504761595389994,0.03159634454598483
2.335,0.4121331694906276,0.03227688119774451
2.3449999999999998,0.6129385116238999,0.03329768617538402
2.355,0.43410296334106535,0.03402683258798367
2.365,0.28695977935103006,0.034512930196383435
2.375,0.2845483668841375,0.0349990278047832
2.385,0.42325083443393524,0.03572817421738285
2.395,0.30779742740536975,0.036262881586622595
2.4050000000000002,0.30524310662882925,0.03679758895586234
2.415,0.330240491720839,0.03738090608594206
2.425,0.24564185879178882,0.03781839393350185
2.435,0.4060473537537176,0.0385475403461015
2.4450000000000003,0.32218615996853817,0.03913085747618122
2.455,0.34619733934604296,0.039762784367100915
2.465,0.3169792037551648,0.04034610149718063
2.475,0.39302866720529706,0.04107524790978029
2.4850000000000003,0.5198291033079935,0.04204744312657982
2.495,0.4641034434748974,0.04292241882169939
2.505,0.434827348395493,0.043748784755979
2.515,0.3045009570920707,0.04433210188605872
2.5250000000000004,0.453140771229931,0.0452070775811783
