r,rdf,cdf
0.005,0.0,0.0
0.015,0.0,0.0
0.025,0.0,0.0
0.035,0.0,0.0
0.045,0.0,0.0
0.055,0.0,0.0
0.065,0.0,0.0
0.07500000000000001,0.0,0.0
0.08499999999999999,0.0,0.0
0.095,0.0,0.0
0.10500000000000001,0.0,0.0
0.11499999999999999,0.0,0.0
0.125,0.0,0.0
0.135,0.0,0.0
0.14500000000000002,0.0,0.0
0.155,0.0,0.0
0.165,0.0,0.0
0.175,0.0,0.0
0.185,0.0,0.0
0.195,0.0,0.0
0.20500000000000002,0.0,0.0
0.215,0.0,0.0
0.225,0.0,0.0
0.235,0.0,0.0
0.245,0.0,0.0
0.255,0.0,0.0
0.265,0.0,0.0
0.275,0.0,0.0
0.28500000000000003,0.0,0.0
0.295,0.0,0.0
0.305,0.0,0.0
0.315,0.0,0.0
0.325,0.0,0.0
0.335,0.0,0.0
0.34500000000000003,0.0,0.0
0.355,0.0,0.0
0.365,0.0,0.0
0.375,0.0,0.0
0.385,0.0,0.0
0.395,0.0,0.0
0.405,0.0,0.0
0.41500000000000004,0.0,0.0
0.425,0.0,0.0
0.435,0.0,0.0
0.445,0.0,0.0
0.455,0.0,0.0
0.465,0.0,0.0
0.475,0.0,0.0
0.485,0.0,0.0
0.495,0.0,0.0
0.505,0.0,0.0
0.515,0.0,0.0
0.525,0.0,0.0
0.535,0.0,0.0
0.545,0.0,0.0
0.555,0.0,0.0
0.5650000000000001,0.0,0.0
0.575,0.0,0.0
0.585,0.0,0.0
0.595,0.0,0.0
0.605,0.0,0.0
0.615,0.0,0.0
0.625,0.0,0.0
0.635,0.0,0.0
0.645,0.0,0.0
0.655,0.0,0.0
0.665,0.0,0.0
0.675,0.0,0.0
0.685,0.0,0.0
0.6950000000000001,0.0,0.0
0.7050000000000001,0.0,0.0
0.715,0.0,0.0
0.725,0.0,0.0
0.735,0.0,0.0
0.745,0.0,0.0
0.755,0.0,0.0
0.765,0.0,0.0
0.775,0.0,0.0
0.785,0.0,0.0
0.795,0.0,0.0
0.805,0.0,0.0
0.8150000000000001,0.0,0.0
0.8250000000000001,0.0,0.0
0.835,0.0,0.0
0.845,0.0,0.0
0.855,0.0,0.0
0.865,0.0,0.0
0.875,0.0,0.0
0.885,0.0,0.0
0.895,0.0,0.0
0.905,0.0,0.0
0.915,0.0,0.0
0.925,0.0,0.0
0.935,0.0,0.0
0.9450000000000001,0.0,0.0
0.9550000000000001,0.0,0.0
0.965,0.0,0.0
0.975,0.0,0.0
0.985,0.0,0.0
0.995,0.0,0.0
1.005,0.0,0.0
1.0150000000000001,0.0,0.0
1.025,0.0,0.0
1.0350000000000001,0.0,0.0
1.045,0.0,0.0
1.0550000000000002,0.0,0.0
1.065,0.0,0.0
1.0750000000000002,0.0,0.0
1.085,0.0,0.0
1.0950000000000002,0.0,0.0
1.105,0.0,0.0
1.1150000000000002,0.0,0.0
1.125,0.0,0.0
1.1350000000000002,0.0,0.0
1.145,0.0,0.0
1.155,0.0,0.0
1.165,0.0,0.0
1.1749999999999998,0.0,0.0
1.185,0.0,0.0
1.1949999999999998,0.0,0.0
1.205,0.0,0.0
1.2149999999999999,0.0,0.0
1.225,0.0,0.0
1.2349999999999999,0.0,0.0
1.245,0.0,0.0
1.255,0.0,0.0
1.2650000000000001,0.0,0.0
1.275,0.0,0.0
1.2850000000000001,0.0,0.0
1.295,0.0,0.0
1.3050000000000002,0.0,0.0
1.315,0.0,0.0
1.3250000000000002,0.0,0.0
1.335,0.0,0.0
1.3450000000000002,0.0,0.0
1.355,0.0,0.0
1.3650000000000002,0.0,0.0
1.375,0.0,0.0
1.3850000000000002,0.0,0.0
1.395,0.0,0.0
1.405,0.0,0.0
1.415,0.0,0.0
1.4249999999999998,0.0,0.0
1.435,0.0,0.0
1.4449999999999998,0.0,0.0
1.455,0.0,0.0
1.4649999999999999,0.0,0.0
1.475,0.0,0.0
1.4849999999999999,0.0,0.0
1.495,0.0,0.0
1.505,0.0,0.0
1.5150000000000001,0.0,0.0
1.525,0.0,0.0
1.5350000000000001,0.0,0.0
1.545,0.0,0.0
1.5550000000000002,0.0,0.0
1.565,0.0,0.0
1.5750000000000002,0.0,0.0
1.585,0.0,0.0
1.5950000000000002,0.0,0.0
1.605,0.0,0.0
1.6150000000000002,0.0,0.0
1.625,0.0,0.0
1.6350000000000002,0.0,0.0
1.645,0.0,0.0
1.6550000000000002,0.0,0.0
1.665,0.0,0.0
1.6749999999999998,0.0,0.0
1.685,0.0,0.0
1.6949999999999998,0.0,0.0
1.705,0.0,0.0
1.7149999999999999,0.0,0.0
1.725,0.0,0.0
1.7349999999999999,0.0,0.0
1.745,0.0,0.0
1.755,0.0,0.0
1.7650000000000001,0.0,0.0
1.775,0.0,0.0
1.7850000000000001,0.0,0.0
1.795,0.0,0.0
1.8050000000000002,0.0,0.0
1.815,0.0,0.0
1.8250000000000002,0.0,0.0
1.835,0.029861620929204663,3.060537430372773e-05
1.8450000000000002,0.0,3.060537430372773e-05
1.855,0.08766353211938632,0.00012242149721491093
1.8650000000000002,0.028908654406982853,0.00015302687151863865
1.875,0.2574100660160738,0.00042847524025218825
1.8850000000000002,0.16979078368464992,0.0006121074860745547
1.895,0.08400176443378744,0.0007039236089857379
1.9050000000000002,0.4433182553892906,0.0011936095978453817
1.915,0.3564440740819318,0.0015914794637938421
1.9249999999999998,0.4341543216408099,0.0020811654526534857
1.935,0.42967854373825626,0.0025708514415131297
1.9449999999999998,0.77080481695252,0.0034584072963212338
1.955,0.6050899722863536,0.004162330905306972
1.9649999999999999,0.5989469799142377,0.00486625451429271
1.975,1.4951317218700946,0.006641366223908918
1.9849999999999999,1.3780291650739263,0.008294056436310216
1.995,1.3389851186714472,0.009916141274407786
2.005,1.8759367841510834,0.012211544347187365
2.015,1.5601851762915817,0.014139682928322213
2.0250000000000004,2.3049605993554367,0.01701658811287262
2.035,2.1852412930648146,0.019771071800208116
2.045,2.5726628647180734,0.023045846850706986
2.0549999999999997,2.761977077480054,0.0265960702699394
2.065,2.61739102078538,0.029993266817653182
2.075,3.64312561357014,0.0347677052090347
2.085,3.723912903887431,0.03969517047193487
2.0949999999999998,3.3448031743146807,0.04416355512027912
2.105,3.2450217382024413,0.04854012364571218
2.115,3.933716761521844,0.05389606414886454
2.125,3.6741075421824316,0.058945950908979625
2.135,4.058895409029748,0.06457733978086552
2.145,3.56220422882611,0.06956601579237313
2.1550000000000002,3.3776594510464544,0.07434045418375466
2.165,3.3465291705786724,0.07911489257513618
2.175,4.081018196223443,0.08499112444145192
2.185,3.622525041799011,0.09025524882169308
2.1950000000000003,3.1513289348504037,0.09487666034155598
2.205,3.6605127550803784,0.1002938115933158
2.215,3.4020953344609097,0.1053743037277346
2.225,3.0669223168229935,0.10999571524759748
2.2350000000000003,3.0395392645803057,0.11461712676746036
2.245,3.1322241502415125,0.11942217053314562
2.255,2.590383598561162,0.12343147456693396
2.265,2.6263600903684696,0.12753259472363349
2.2750000000000004,2.817027529022438,0.131970373997674
2.285,2.5420694963867394,0.13601028340576604
2.295,2.8063243073367805,0.14050927342841402
2.305,2.4981469449688274,0.14454918283650608
2.315,2.4390869153095247,0.1485278814959907
2.325,2.287942562714589,0.15229234253534918
2.335,2.083965860099062,0.15575074983167042
2.3449999999999998,2.0662300879476416,0.15920915712799166
2.355,2.0487197687165093,0.1626675644243129
2.365,1.7797493684579204,0.16569749648038196
2.375,1.8004459753453077,0.16878863928505844
2.385,1.891441722798405,0.17206341433555733
2.395,1.7529717757367251,0.1751239517659301
2.4050000000000002,1.164744331891589,0.17717451184427985
2.415,1.3964864247192117,0.1796535471628818
2.425,1.3165980695288866,0.18201016098426884
2.435,1.1701381512898248,0.18412193181122605
2.4450000000000003,1.1269458808312698,0.1861724918895758
2.455,1.0677337503246744,0.1881312358450144
2.465,0.9597986634346534,0.1899063475546306
2.475,0.952058393752592,0.1916814592642468
2.4850000000000003,1.1723727471630583,0.1938850462141152
2.495,0.9207034371977396,0.19562955254942768
